Codigo Produto;Descricao ;NOME
188005;GARRAFEIRA PLAST,12 GFA 1L,AMBEV,                                 ;GARRAFEIRA 1L
198213;GARRAFEIRA PLAST,24 GFA 300ML,AZUL,C/2                            ;GARRAFEIRA 300ML
198214;GFA VIDRO 330ML,AMBAR,TIPO S GP,RETORN                            ;GARRAFA 300ML
235894;GFA VIDRO 1L,GCA 1L,RETORN.,,                                     ;GARRAFA GUARANç 1L 
118785;REFRIGERADOR,SKOL,NORMAL,220W,9643,                               ;REFRIGERADOR PVC SKOL
188006;GFA VIDRO 1L,AMBAR,RETORN.,,                                      ;GARRAFA 1L CERVEJA
287241;GFA VIDRO 300 ML,AMBAR,RETORNAVEL IMP                             ;GARRAFA 300ML
296156;GARRAFEIRA PLAST,23 GFA 300ML,AZUL                                ;GARRAFEIRA 300ML
118784;REFRIGERADOR,SKOL,NORMAL,110W,9642,                               ;FREEZER SKOL
29043;GFA VIDRO 1L,PEPSI COLA,RETORN.,ROLL ON,                          ;GARRAFA PEPSI 1L
118754;REFRIGERADOR,BRAHMA,NORMAL PV,220W,15721,                         ;REFRIGERADOR PORTA NORMAL
118769;REFRIGERADOR,BRAHMA,DUPLO PC,220W,9686,                           ;REFRIGERADOR PORTA DUPLA
782936;REFRIGERADOR,VERTICAL,GUARANA ANTARTICA,CAPACIDADE 229,5L,110/220V;REFRIGERADOR PORTA NORMAL
118728;Refrigerador Porta Cega Normal,,,                                 ;FREEZER
118805;FREEZER,HORIZONTAL TODOS OS MODELOS,                              ;HORIZONTAL
184410;REFRIGERADOR,SKOL,VISOR,DE,VIDRO,NORMAL,110V                      ;REFRIGERADOR PORTA NORMAL
118742;VISA COOLER,NANC,NORMAL,110-220,-,                                ;REFRIGERADOR PORTA NORMAL
118780;REFRIGERADOR,SKOL,MINI,220W,11491,                                ;FREEZER SKOL MINI
27983;GFA VIDRO 635ML,AMBAR,TIPO A,RETORN.,                             ;GARRAFA GENERICA 600ML
30491;GARRAFEIRA PLAST,24 GFA 600ML,SKOL,C/1,                           ;GARRAFEIRA SKOL 600ML
118724;VISA COOLER,GUARANA CHP ANTARCTICA,NORMAL,110W,17010,             ;REFRIGERADOR PORTA NORMAL
646817;REFRIGERADOR,GUARANA/PEPSI,CAPACIDADE 324L,127/220V,VERDE/AZUL,186;FREEZER GUARANç
118779;REFRIGERADOR,SKOL,MINI,110W,11490,                                ;REFRIGERADOR PORTA MINI
184412;REFRIGERADOR,BRAHMA,VISOR,DE,VIDRO,NORMAL,110V                    ;REFRIGERADOR PORTA NORMAL
193007;REFRIGERADOR,ORIGINAL,RETRO,220V,                                 ;REFRIGERADOR PORTA NORMAL
145902;REFRIGERADOR,HORIZONTAL BRAHMA,                                   ;SOPI/VISA   
146972;REFRIGERADOR,STELLA ARTOIS,NORMAL,220W,-,                         ;REFRIGERADOR PORTA NORMAL
126677;REFRIGERADOR,ORIGINAL,NORMAL,220W,-,                              ;FREEZER ORIGINAL
138165;GARRAFEIRA PLAST,24 GFA 600ML,ANTARCTICA,,AZUL,                   ;GARRAFEIRA ANTARCTICA 600ML
786238;GFA VIDRO 635ML,VERDE,TIPO A,RETORN.,                             ;GARRAFA VERDE 600ML
118788;REFRIGERADOR PORTA DE VIDRO NORMAL                                ;REFRIGERADOR PORTA DE VIDRO
118747;REFRIGERADOR,BRAHMA,MINI,110W,11488,                              ;FREEZER BRAHMA MINI
118735;VISA COOLER,PEPSI COLA,NORMAL,220W,17013,                         ;FRREZER PEPSI
698161;REFRIGERADOR,VERTICAL,PEPSI,CAPACIDADE 324L,127/220V,AZUL,1554X525;FREEZER PEPSI
865985;REFRIGERADOR,CERVEJEIRA,PEPSI BLACK,740L,127V,PRETO,1980X990X650MM;SOPI/VISA   
129766;Refrigerador Visa Cooler Mini,,,                                  ;REFRIGERADOR PORTA MINI
30486;GARRAFEIRA PLAST,24 GFA 600ML,BRAHMA,C/1,                         ;GARRAFEIRA BRAHMA 600ML
100606;Barril 30L                                                        ;BARRIL CHOPP 30 LT
100607;Barril 50L                                                        ;BARRIL CHOPP 50 LT
129647;CHOPEIRA,ELETRICA,,QUIOSQUE DE CHOPP,                             ;CHOPEIRA
245433;REFRIGERADOR,S ARTOIS,SLIM,220v,,                                 ;REFRIGERADOR PORTA NORMAL
256845;Budweiser PC Ret 220v,,,,,,,,,,,,,,,,,,,,,,                       ;REFRIGERADOR PORTA NORMAL
838981;REFRIGERADOR,VERTICAL,BUDWEISER,324L,S/,127V,VERMELHO,1903X525X615;FREEZER BUDWEISER
118766;REFRIGERADOR,BOHEMIA,LATA,220W,-,                                 ;REFRIGERADOR PORTA NORMAL
127658;VISA COOLER,PEPSI COLA,MINI,220W,-,                               ;REFRIGERADOR PORTA MINI
791291;REFRIGERADOR,CERVEJEIRA,BRAHMA DUPLO MALTE,CAPACIDADE 600L,220V,VE;REFRIGERADOR PORTA NORMAL
2013877;MESA 70X70 MI EXTRA FORTE VERMELHO BRAHMA CHOPP                   ;MESA BRAHMA
2013878;CADEIRA BISTROT 3 EXTRA FORTE VERMELHO BRAHMA CHOP                ;CADEIRA BRAHMA
2013885;CONJUNTO DE MESA COM 4 CADEIRA SPATEN (MADEIRA) 70x70             ;CONJUNTO DE MESA MADEIRA SPATEN
628699;REFRIGERADOR,PEPSI SLIM,PORTA VIDRO                               ;FREEZER PSPSI PORTA DE VIDRO
